country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,66,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,68,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,71,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,72,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,75,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,80,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,67,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,66,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,58,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,71,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,5,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,9,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,17,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,26,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,35,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,45,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,53,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,53,Total,Units,%,Estimated value,,,15 years old
Austria,AT,AUT,40,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,53,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,2,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,18,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,16,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,9,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,8,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,4,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,4,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,8,Total,Units,%,Estimated value,,,15 years old
Bahamas,BS,BHS,44,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,9,Total,Units,%,Estimated value,,,15 years old
Bangladesh,BD,BGD,50,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,21,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,8,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,31,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,15,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,15,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,26,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,28,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,7,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,27,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,15,Total,Units,%,Estimated value,,,15 years old
Barbados,BB,BRB,52,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,50,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2012,59,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2013,61,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,62,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,64,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,65,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,66,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,67,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,68,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,69,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,69,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,69,Total,Units,%,Estimated value,,,15 years old
Belgium,BE,BEL,56,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,72,Total,Units,%,Estimated value,,,15 years old
Belize,BZ,BLZ,84,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,51,Total,Units,%,Estimated value,,,15 years old
Belize,BZ,BLZ,84,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,54,Total,Units,%,Estimated value,,,15 years old
Belize,BZ,BLZ,84,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,63,Total,Units,%,Estimated value,,,15 years old
Belize,BZ,BLZ,84,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,12,Total,Units,%,Estimated value,,,15 years old
Belize,BZ,BLZ,84,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,5,Total,Units,%,Estimated value,,,15 years old
Belize,BZ,BLZ,84,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,7,Total,Units,%,Estimated value,,,15 years old
Belize,BZ,BLZ,84,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,41,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2010,95,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2011,74,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2012,77,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2013,68,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,94,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,94,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,95,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,94,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,94,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,74,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,83,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,90,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,71,Total,Units,%,Estimated value,,,15 years old
Bhutan,BT,BTN,64,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,87,Total,Units,%,Estimated value,,,15 years old
"Bolivia, Plurinational State of",BO,BOL,68,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,64,Total,Units,%,Estimated value,,,15 years old
"Bolivia, Plurinational State of",BO,BOL,68,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,59,Total,Units,%,Estimated value,,,15 years old
"Bolivia, Plurinational State of",BO,BOL,68,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,66,Total,Units,%,Estimated value,,,15 years old
"Bolivia, Plurinational State of",BO,BOL,68,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,23,Total,Units,%,Estimated value,,,15 years old
"Bolivia, Plurinational State of",BO,BOL,68,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,34,Total,Units,%,Estimated value,,,15 years old
"Bolivia, Plurinational State of",BO,BOL,68,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,45,Total,Units,%,Estimated value,,,15 years old
"Bolivia, Plurinational State of",BO,BOL,68,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,67,Total,Units,%,Estimated value,,,15 years old
Bosnia and Herzegovina,BA,BIH,70,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,5,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,64,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,73,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,0,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,0,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,43,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,0,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,21,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,20,Total,Units,%,Estimated value,,,15 years old
Botswana,BW,BWA,72,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,32,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,60,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,49,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,71,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,91,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,67,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,67,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,71,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,67,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,72,Total,Units,%,Estimated value,,,15 years old
Brazil,BR,BRA,76,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,73,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2012,88,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2013,85,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,80,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,76,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,85,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,87,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,88,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,87,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,81,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,85,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,83,Total,Units,%,Estimated value,,,15 years old
Brunei,BN,BRN,96,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,83,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2013,20,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,14,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,4,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,3,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,4,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,6,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,4,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,3,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,2,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,4,Total,Units,%,Estimated value,,,15 years old
Bulgaria,BG,BGR,100,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,6,Total,Units,%,Estimated value,,,15 years old
Burkina Faso,BF,BFA,854,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,16,Total,Units,%,Estimated value,,,15 years old
Burkina Faso,BF,BFA,854,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,97,Total,Units,%,Estimated value,,,15 years old
Cape Verde,CV,CPV,132,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,93,Total,Units,%,Estimated value,,,15 years old
Cape Verde,CV,CPV,132,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,93,Total,Units,%,Estimated value,,,15 years old
Cambodia,KH,KHM,116,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,91,Total,Units,%,Estimated value,,,15 years old
Cameroon,CM,CMR,120,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,5,Total,Units,%,Estimated value,,,15 years old
Cameroon,CM,CMR,120,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,7,Total,Units,%,Estimated value,,,15 years old
Cameroon,CM,CMR,120,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,66,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2013,73,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,74,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,75,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,79,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,83,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,83,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,83,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,87,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,87,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,86,Total,Units,%,Estimated value,,,15 years old
Canada,CA,CAN,124,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,86,Total,Units,%,Estimated value,,,15 years old
Chile,CL,CHL,152,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,77,Total,Units,%,Estimated value,,,15 years old
Chile,CL,CHL,152,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,80,Total,Units,%,Estimated value,,,15 years old
Chile,CL,CHL,152,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,72,Total,Units,%,Estimated value,,,15 years old
Chile,CL,CHL,152,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,78,Total,Units,%,Estimated value,,,15 years old
Chile,CL,CHL,152,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,84,Total,Units,%,Estimated value,,,15 years old
Chile,CL,CHL,152,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,76,Total,Units,%,Estimated value,,,15 years old
Chile,CL,CHL,152,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,59,Total,Units,%,Estimated value,,,15 years old
